Int_ID,Global_ID,Sample_ID,Sample_Description,Oil_Field,Facility_Name,County,Sampling_Date,Link,Source_Type,Detect_Limit,Datum,Latitude,Longitude,Geography_Description,Alkalinity_CaCO3,HCO3Alk_CaCO3,CO3Alk_CaCO3,OHAlk_CaCO3,Hardness_CaCO3,Specific_Conductance,TDS,Temp_C,pH,HCO3,CO3,OH,Br,Cl,SO4,Ca,Mg,K,Na,B,As,Ba,Fe,Mn,Se,Sr,Deuterium,Oxygen_18,NH3,NH4,NO3,Oil_Grease
1,L10003361492,Sump #2,Sample from Pond #2,PYRAMID HILLS,"PYRAMID HILLS OIL FIELD, CCMO-17 LEASE",Kings,5/10/2001,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/PublicAttachmentRetriever?parentID=300622&attachmentID=1613168&attType=4,PDF,DLR,NAD 83,35.832937,-120.05077,SUMP 2/SAMPLING LOCATION,,,,,,31000,23000,,,,,,,6700,,,,,,29,,,,,,,,,,,,
2,L10003361492,Wash tank discharge piping,Sample from discharge pipe (receives effluent from Pond #1),PYRAMID HILLS,"PYRAMID HILLS OIL FIELD, CCMO-17 LEASE",Kings,5/4/2005,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/PublicAttachmentRetriever?parentID=338728&attachmentID=1613169&attType=4,PDF,RL,NAD 83,35.832937,-120.05077,SUMP 2/SAMPLING LOCATION,,,,,,19000,13000,,,,,,,4000,,,,,,19,,,,,,,,,,,,
3,L10003361492,Tank discharge piping,Sample from discharge pipe (receives effluent from Pond #1),PYRAMID HILLS,"PYRAMID HILLS OIL FIELD, CCMO-17 LEASE",Kings,3/23/2007,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/PublicAttachmentRetriever?parentID=1079851&attachmentID=1601535&attType=4,PDF,RL,NAD 83,35.832937,-120.05077,SUMP 2/SAMPLING LOCATION,,,,,,18000,12000,,,,,,,3200,,,,,,20,,,,,,,,,,,,
4,L10003361492,Tank discharge pipe,Sample from discharge pipe (receives effluent from Pond #1),PYRAMID HILLS,"PYRAMID HILLS OIL FIELD, CCMO-17 LEASE",Kings,2/4/2015,https://geotracker.waterboards.ca.gov/view_documents?global_id=L10003361492&enforcement_id=6426311,PDF,MDL,NAD 83,35.832937,-120.05077,SUMP 2/SAMPLING LOCATION,3800,,,,760,15000,9900,,,4700,<2.3,<2.3,,2500,1300,56,150,24,3700,15,,,5,89,,,,,,,4.6,
5,T10000006736,1504157-01,Sample from wastewater tank (discharges into Ponds A & 1/B) ,PYRAMID HILLS,"PYRAMID HILLS OIL FIELD, BOCQUERAZ LEASE",Kings,4/14/2015,https://www.waterboards.ca.gov/centralvalley/water_issues/oil_fields/information/disposal_ponds/central_calif/2015_0615_cc_com_bocq_rpt.pdf,PDF,PQL,NAD 83,35.83925,-120.054279,WASH TANK/SAMPLING LOCATION,4500,4500,<10,<10,240,18000,12000,,7.35,5490,<6.0,<3.4,24,3800,<5.0,22,45,26,5900,15,<20,6.6,0.12,<30,<50,3.7,,,,,<20,
6,T10000006736,AL150402-3,Sample from wastewater tank (discharges into Ponds A & 1/B) ,PYRAMID HILLS,"PYRAMID HILLS OIL FIELD, BOCQUERAZ LEASE",Kings,2/4/2015,https://geotracker.waterboards.ca.gov/view_documents?global_id=T10000006736&enforcement_id=6426319,PDF,MDL,NAD 83,35.83925,-120.054279,WASH TANK/SAMPLING LOCATION,5100,,,,270,19000,12000,,,5700,260,<2.3,,3800,14,41,42,22,4800,16,,,1.8,56,,,,,,,5.8,
7,T10000006737,1504158-01,"Sample from wash tank (discharges into Ponds 1/A, 2/B, & 3/C) ",PYRAMID HILLS,"PYRAMID HILLS OIL FIELD, GETTY LEASE",Kings,4/14/2015,https://www.waterboards.ca.gov/centralvalley/water_issues/oil_fields/information/disposal_ponds/central_calif/2015_0622_cc_com_getty_add.pdf,PDF,PQL,NAD 83,35.846874,-120.059157,LOCATION OF POND 1/A (APPROXIMATE SAMPLING LOCATION),4300,4300,<10,<10,170,18000,11000,,7.6,5246,<6.0,<3.4,26,3700,<5.0,23,28,19,5900,12,<20,15,<0.10,<30,<50,5.9,,,,,<500,
8,T10000006737,DH032307-0945,"Sample from wash tank (discharges into Ponds 1/A, 2/B, & 3/C) ",PYRAMID HILLS,"PYRAMID HILLS OIL FIELD, GETTY LEASE",Kings,3/23/2007,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/PublicAttachmentRetriever?parentID=1084637&attachmentID=1580857&attType=4,PDF,NA,NAD 83,35.846874,-120.059157,LOCATION OF POND 1/A (APPROXIMATE SAMPLING LOCATION),,,,,,18000,11000,,,,,,,4100,,,,,,17,,,,,,,,,,,,
9,T10000006738,1504159-01,Sample from temporary wastewater storage tank,PYRAMID HILLS,"PYRAMID HILLS OIL FIELD, SB LEASE (SUZANNE BOCQUEROZ)",Kings,4/14/2015,https://www.waterboards.ca.gov/centralvalley/water_issues/oil_fields/information/disposal_ponds/compass_global/2015_0622_cgr_com_add.pdf,PDF,PQL,NAD 83,35.84314,-120.05353,POND/SAMPLING LOCATION,2900,2900,<10,<10,120,17000,10000,,7.67,3538,<6.0,<3.4,29,4500,<5.0,15,19,16,5300,13,<20,9.1,0.15,<30,<50,6.2,,,,,<500,
10,T10000006738,AL150402-4,Sample from discharge pipe (discharges into pond),PYRAMID HILLS,"PYRAMID HILLS OIL FIELD, SB LEASE (SUZANNE BOCQUEROZ)",Kings,2/4/2015,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F2906509876%2F2-4-15_SB_NOV_InpsRpt_%203-24-2015.pdf,PDF,MDL,NAD 83,35.84314,-120.05353,POND/SAMPLING LOCATION,3100,,,,140,18000,11000,,,3800,<2.3,<2.3,,4300,11,22,19,13,4400,17,,,3.3,77,,,,,,,1.2,
11,T10000006739,1504156-01,Sample from wastewater storage tank,PYRAMID HILLS,"PYRAMID HILLS OIL FIELD, ORCHARD-SHANNON LEASE",Kings,4/14/2015,https://www.waterboards.ca.gov/centralvalley/water_issues/oil_fields/information/disposal_ponds/duncan/2015_0622_com_duncan_add.pdf,PDF,PQL,NAD 83,35.80211,-120.0271,LOCATION OF POND 1 (APPROXIMATE SAMPLING LOCATION),3700,3700,<10,<10,150,13000,7800,,7.32,4514,<6.0,<3.4,14,1900,<120,29,18,13,3900,10,<20,3.1,<0.1,36,<50,2.6,,,,,<500,
12,T10000006739,AL150402-1,Sample from Pond #1; wastewater,PYRAMID HILLS,"PYRAMID HILLS OIL FIELD, ORCHARD-SHANNON LEASE",Kings,2/4/2015,https://geotracker.waterboards.ca.gov/view_documents?global_id=T10000006739&enforcement_id=6426308,PDF,MDL,NAD 83,35.80211,-120.0271,POND 1/SAMPLING LOCATION,3700,,,,140,12000,7900,,,4100,230,<2.3,,2300,8,19,22,13,3300,13,,,<0.084,23,,,,,,,<0.42,
13,L10007494132,Sample from McKittrick Sump,"""first pond"" of MCK 1",BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,2/10/1988,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F2921166539%2F2-10-1988_A-InspRpt_DS.pdf,PDF,NA,NAD 83,35.390889,-119.655973,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),,,,,,16500,7772,,,,,,,4484,,,,,,42.5,,,,,,,,,,,,
14,L10007494132,MCK 1 (23898),"""first pond"" of MCK 1",BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,6/26/1997,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F1837215602%2F6-26-1997_A-InspRpt_RD.pdf,PDF,RL,NAD 83,35.391459,-119.651672,FACILITY CENTROID - DERIVED,,,,,,42000,,,,,,,,16000,,,,,,,,,,,,,,,,,,
15,L10007494132,Sample from McKittrick Sump,"""Produced Water""",BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,1/14/2003,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F3513229846%2FVWDC_Hydrogeologic%20Rpt_Cymric%20Field_McKittrick%201%20%26%201-3%20Ponds_3-26-2004.pdf,PDF,"MDL, RL",NAD 83,35.390889,-119.655973,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),1230,1230,,,570,14600,8500,,7.61,1500,<12,<6.5,,4520,170,120,66,55,2900,54,,,,,,,-60,-5.1,,,<0.05,
16,L10007494132,Pond-Water (IPI0650-04),"""Pond Water""",BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,9/6/2006,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F6597504138%2FVWDC_Phase%20II%20Hydrogeo%20Rpt_8-16-2007.pdf,PDF,RL,NAD 83,35.390889,-119.655973,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),800,800,<2.0,<2.0,,28000,14000,,,976,<1.2,<0.68,,8100,250,190,75,110,5200,67,,,,,,,-47,-4.4,,,<10,
17,L10007494132,McKittrick 1 (AE16024-06),From second smaller impoundment after cleaning ponds at McKittrick 1,BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,5/16/2014,https://geotracker.waterboards.ca.gov/view_documents?global_id=L10007494132&enforcement_id=6350568,PDF,MDL,NAD 83,35.391339,-119.655022,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),650,,,,520,20000,11000,,,790,<1.0,<1.0,,6000,210,150,38,86,3700,56,,,1.2,110,,,,,,,20,
18,L10007494132,McKittrick 1-3 (AE16024-07),From the small pond next to the larger final impoundment at McKittrick 1-3.,BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,5/16/2014,https://geotracker.waterboards.ca.gov/view_documents?global_id=L10007494132&enforcement_id=6350568,PDF,MDL,NAD 83,35.390592,-119.648215,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),1500,,,,470,29000,15000,,,1700,38,<1.0,,9200,180,110,47,98,6000,90,,,0.21,52,,,,,,,28,
19,L10007494132,OOE171012-1 (DJ12042-01),wastewater sample [MCK 1 (P-7)],BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,10/12/2017,Dom Data,PDF,MDL,NAD 83,35.390889,-119.655973,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),510,,,,670,23000,8500,,,620,<1.0,<1.0,,6500,230,180,51,110,3700,73,85,2.5,1,82,140,,,,,,15.062,
